account_code,hoa,account_code_description,receipt_or_payment,positive_or_negative,part
3201028221,320102101010121,Existing Post Offices-Materials and Supplies,Payment Side,Positive,Part I
3201028324,320102101010124,Existing Post Offices-Fuels and Lubricants,Payment Side,Positive,Part I
3201028426,320102101010126,Existing Post Offices-Advertising and Publicity,Payment Side,Positive,Part I
3201028527,320102101010127,Existing Post Offices-Minor Civil and Electrical Works,Payment Side,Positive,Part I
3201028628,320102101010128,Existing Post Offices-Professional Services,Payment Side,Positive,Part I
3201028729,320102101010129,Existing Post Offices-Repairs and Maintenance,Payment Side,Positive,Part I
3201028849,320102101010149,Existing Post Offices-Other Revenue Expenditure,Payment Side,Positive,Part I
3201028964,320102101010164,Existing Post Offices-Write off of losses,Payment Side,Positive,Part I
3201029013,320102101010213,Rural Business & Access to Postal Network-Office Expenses,Payment Side,Positive,Part I
3201029114,320102101010214,RB & Access to Postal Network-RRT for Land and Buidlings,Payment Side,Positive,Part I
3201029216,320102101010216,Rural Business & Access to Postal Network-P & P,Payment Side,Positive,Part I
3201029318,320102101010218,Rural Business & Access to Postal Network-Rent for Others,Payment Side,Positive,Part I
3201029419,320102101010219,Rural Business & Access to Postal Network-Digital Equipment,Payment Side,Positive,Part I
3201029527,320102101010227,Rural Business &Access to Postal Network-Minor C & E Works,Payment Side,Positive,Part I
3201029628,320102101010228,Rural Business &Access to Postal Network-PPSS,Payment Side,Positive,Part I
3201029729,320102101010229,RB & Access to Postal Network-Repairs and Maintenance,Payment Side,Positive,Part I
3201029801,320102101020101,Opening & Upgrading of Post Offices-Salaries,Payment Side,Positive,Part I
3201029902,320102101020102,Opening & Upgrading of Post Offices-Wages,Payment Side,Positive,Part I
3201030005,320102101020105,Opening & Upgrading of Post Offices-Rewards,Payment Side,Positive,Part I
3201030106,320102101020106,Opening & Upgrading of Post Offices-Medical Treatment,Payment Side,Positive,Part I
3201030207,320102101020107,Opening & Upgrading of Post Offices-Allowances,Payment Side,Positive,Part I
3201030308,320102101020108,Opening & Upgrading of Post Offices-LTC,Payment Side,Positive,Part I
